Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load
0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.63,15.81
0.69,735.0,294.0,220.5,3.5,3,0.4,4,14.62,16.88
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,13.89
0.74,686.0,245.0,220.5,3.5,4,0.25,2,12.16,15.18
0.98,514.5,294.0,110.25,7.0,2,0.1,3,24.28,25.68
0.74,686.0,245.0,220.5,3.5,5,0.1,2,10.45,13.79
0.64,784.0,343.0,220.5,3.5,2,0.4,2,19.2,21.72
0.76,661.5,416.5,122.5,7.0,4,0.4,1,40.71,40.63
0.76,661.5,416.5,122.5,7.0,2,0.4,3,39.32,38.17
0.79,637.0,343.0,147.0,7.0,5,0.25,3,39.83,36.87
0.69,735.0,294.0,220.5,3.5,2,0.25,2,12.85,15.52
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83
0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,21.33
0.76,661.5,416.5,122.5,7.0,2,0.25,5,35.69,36.93
0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55,21.33
0.64,784.0,343.0,220.5,3.5,3,0.4,2,18.88,22.07
0.64,784.0,343.0,220.5,3.5,3,0.4,4,19.13,21.54
0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.79,28.79
0.64,784.0,343.0,220.5,3.5,4,0.1,5,15.12,19.26
0.79,637.0,343.0,147.0,7.0,5,0.1,5,35.48,41.26
0.86,588.0,294.0,147.0,7.0,4,0.1,5,25.36,32.04
0.64,784.0,343.0,220.5,3.5,5,0.1,5,15.36,19.29
0.66,759.5,318.5,220.5,3.5,5,0.0,0,7.1,12.14
0.64,784.0,343.0,220.5,3.5,3,0.25,1,17.35,21.19
0.66,759.5,318.5,220.5,3.5,2,0.25,4,12.95,15.95
0.64,784.0,343.0,220.5,3.5,4,0.25,2,17.02,20.48
0.74,686.0,245.0,220.5,3.5,2,0.1,2,10.42,13.39
0.76,661.5,416.5,122.5,7.0,5,0.25,4,36.26,37.51
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,13.87
0.86,588.0,294.0,147.0,7.0,2,0.4,4,32.38,31.53
0.74,686.0,245.0,220.5,3.5,3,0.1,2,10.46,13.72
0.9,563.5,318.5,122.5,7.0,5,0.4,5,35.24,37.27
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46
0.69,735.0,294.0,220.5,3.5,4,0.1,1,11.09,14.3
0.71,710.5,269.5,220.5,3.5,2,0.25,3,12.41,14.92
0.64,784.0,343.0,220.5,3.5,2,0.25,3,16.83,19.87
0.82,612.5,318.5,147.0,7.0,3,0.25,1,27.27,27.84
0.64,784.0,343.0,220.5,3.5,3,0.4,5,18.19,20.21
0.62,808.5,367.5,220.5,3.5,4,0.4,4,16.94,16.58
0.79,637.0,343.0,147.0,7.0,5,0.1,4,37.1,35.29
0.69,735.0,294.0,220.5,3.5,4,0.4,5,14.37,16.54
0.62,808.5,367.5,220.5,3.5,3,0.4,4,16.9,16.79
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,14.23
0.98,514.5,294.0,110.25,7.0,3,0.25,4,28.55,29.59
0.69,735.0,294.0,220.5,3.5,5,0.25,4,12.86,16.13
0.64,784.0,343.0,220.5,3.5,3,0.4,1,19.36,22.73
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72
0.9,563.5,318.5,122.5,7.0,4,0.1,1,29.14,29.58
0.79,637.0,343.0,147.0,7.0,3,0.25,5,39.83,36.66
0.71,710.5,269.5,220.5,3.5,2,0.25,1,12.57,15.42
0.76,661.5,416.5,122.5,7.0,3,0.25,2,36.28,37.35
0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05,11.19
0.82,612.5,318.5,147.0,7.0,4,0.4,2,28.64,28.95
0.76,661.5,416.5,122.5,7.0,4,0.1,2,33.12,34.17
0.64,784.0,343.0,220.5,3.5,2,0.0,0,10.85,16.78
0.64,784.0,343.0,220.5,3.5,4,0.1,1,15.42,19.34
0.98,514.5,294.0,110.25,7.0,3,0.4,2,32.71,33.13
0.76,661.5,416.5,122.5,7.0,2,0.1,3,32.52,33.85
0.69,735.0,294.0,220.5,3.5,2,0.4,5,14.12,16.63
0.69,735.0,294.0,220.5,3.5,2,0.1,3,11.22,14.44
0.86,588.0,294.0,147.0,7.0,5,0.1,4,27.03,25.81
0.69,735.0,294.0,220.5,3.5,5,0.4,4,14.71,17.39
0.69,735.0,294.0,220.5,3.5,5,0.25,5,12.47,14.6
0.69,735.0,294.0,220.5,3.5,5,0.4,5,14.21,16.74
0.86,588.0,294.0,147.0,7.0,3,0.25,4,28.42,34.19
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59
0.98,514.5,294.0,110.25,7.0,2,0.25,5,28.69,29.53
0.82,612.5,318.5,147.0,7.0,2,0.4,2,28.95,30.34
0.74,686.0,245.0,220.5,3.5,2,0.1,1,10.36,13.43
0.82,612.5,318.5,147.0,7.0,5,0.4,4,29.52,28.43
0.64,784.0,343.0,220.5,3.5,5,0.25,2,17.11,20.43
0.82,612.5,318.5,147.0,7.0,5,0.25,2,24.94,29.88
0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.51,17.1
0.98,514.5,294.0,110.25,7.0,4,0.4,1,32.49,32.83
0.98,514.5,294.0,110.25,7.0,5,0.1,1,24.59,26.29
0.71,710.5,269.5,220.5,3.5,5,0.4,1,14.58,17.47
0.76,661.5,416.5,122.5,7.0,4,0.4,5,39.31,37.79
0.86,588.0,294.0,147.0,7.0,3,0.4,1,32.39,30.66
0.86,588.0,294.0,147.0,7.0,4,0.4,2,32.13,32.28
0.9,563.5,318.5,122.5,7.0,2,0.25,1,32.68,36.12
0.66,759.5,318.5,220.5,3.5,3,0.4,1,15.23,18.03
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27
0.62,808.5,367.5,220.5,3.5,3,0.25,3,14.34,14.96
0.74,686.0,245.0,220.5,3.5,4,0.25,5,11.64,14.81
0.82,612.5,318.5,147.0,7.0,3,0.4,1,29.91,29.13
0.9,563.5,318.5,122.5,7.0,2,0.1,4,29.06,29.34
0.69,735.0,294.0,220.5,3.5,5,0.4,1,14.42,17.2
0.86,588.0,294.0,147.0,7.0,3,0.25,3,29.4,32.93
0.66,759.5,318.5,220.5,3.5,5,0.25,5,13.02,16.06
0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4,34.07
0.86,588.0,294.0,147.0,7.0,2,0.4,1,31.89,35.99
0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,30.93
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8
0.66,759.5,318.5,220.5,3.5,4,0.25,5,12.78,15.8
0.69,735.0,294.0,220.5,3.5,5,0.1,4,11.2,14.73
0.79,637.0,343.0,147.0,7.0,4,0.4,5,41.09,47.01
0.98,514.5,294.0,110.25,7.0,5,0.4,5,32.73,34.01
0.62,808.5,367.5,220.5,3.5,2,0.25,3,13.91,14.89
0.86,588.0,294.0,147.0,7.0,5,0.1,5,26.45,31.28
0.71,710.5,269.5,220.5,3.5,4,0.25,3,12.1,15.57
